 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Nick Christoffersen","Penn","Sr.","GK","18","7"
"","Danny DiMarco","Manhattan","Jr.","GK","14","7"
"","Jason Dubrovich","San Diego","Sr.","GK","19","7"
"","Matt Frank","Stanford","Sr.","GK","20","7"
"","Brendan Graves","Bowling Green","Jr.","GK","16","7"
"","Cole Hunter","ETSU","Sr.","GK","14","7"
"","Wyatt Kistner","FGCU","Jr.","GK","15","7"
"","Nate Logan","Belmont","Sr.","GK","17","7"
"","Casper Mols","Kentucky","Fr.","GK","16","7"
"","Greg Monroe","Siena","Sr.","GK","19","7"
"","Domenic Nascimben","Duquesne","Sr.","GK","19","7"
"","Nolan Premack","California Baptist","Jr.","GK","19","7"
"","Ryan Schewe","Georgetown","Jr.","GK","15","7"
"","Justin Siegel","Sacred Heart","Sr.","GK","17","7"
"","Henrik Weiper","Brown","Fr.","GK","15","7"
"","Cooper Wenzel","CSUN","So.","GK","19","7"
"","Leroy Zeller","UC Santa Barbara","Jr.","GK","20","7"
"47","James Anderson","Fairfield","Jr.","GK","18","6"
"","Alessandro Capogna","Drexel","Jr.","GK","18","6"
"","Sebastian Conlon","James Madison","Fr.","GK","19","6"
"","Jeremy Coste","Oral Roberts","Sr.","GK","17","6"
"","Kent Dickey","Villanova","Sr.","GK","17","6"
"","Eryk Dymora","Monmouth","So.","GK","15","6"
"","JT Harms","Indiana","Jr.","GK","18","6"
"","Kevin Harr","FIU","Fr.","GK","16","6"
"","Alex Lopez","Tulsa","So.","GK","14","6"
"","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","14","6"
"","Keagan McLaughlin","Ohio St.","Sr.","GK","16","6"
"","Omeed Naeemy","Cleveland St.","Sr.","GK","15","6"
"","Karl Netzell","Quinnipiac","Fr.","GK","18","6"
"","Hannes Ronnholmen","Seton Hall","Sr.","GK","17","6"
"","Oliver Semmle","Marshall","Sr.","GK","19","6"
